統計年度,按照別,區域別,生母年齡,出生者性別,嬰兒出生數
113,按登記日期分,新北市新莊區,37歲,男,58
113,按登記日期分,新北市新莊區,38歲,男,45
113,按登記日期分,新北市新莊區,39歲,男,34
113,按登記日期分,新北市新莊區,40歲,男,30
113,按登記日期分,新北市新莊區,41歲,男,31
113,按登記日期分,新北市新莊區,42歲,男,14
113,按登記日期分,新北市新莊區,43歲,男,11
113,按登記日期分,新北市新莊區,44歲,男,1
113,按登記日期分,新北市新莊區,45歲,男,3
113,按登記日期分,新北市新莊區,46歲,男,0
113,按登記日期分,新北市新莊區,47歲,男,0
113,按登記日期分,新北市新莊區,48歲,男,0
113,按登記日期分,新北市新莊區,49歲,男,0
113,按登記日期分,新北市新莊區,50歲以上,男,1
113,按登記日期分,新北市新莊區,未滿15歲,女,0
113,按登記日期分,新北市新莊區,15歲,女,0
113,按登記日期分,新北市新莊區,16歲,女,0
113,按登記日期分,新北市新莊區,17歲,女,2
113,按登記日期分,新北市新莊區,18歲,女,2
113,按登記日期分,新北市新莊區,19歲,女,5
113,按登記日期分,新北市新莊區,20歲,女,7
113,按登記日期分,新北市新莊區,21歲,女,2
113,按登記日期分,新北市新莊區,22歲,女,10
113,按登記日期分,新北市新莊區,23歲,女,15
113,按登記日期分,新北市新莊區,24歲,女,20
113,按登記日期分,新北市新莊區,25歲,女,15
113,按登記日期分,新北市新莊區,26歲,女,37
113,按登記日期分,新北市新莊區,27歲,女,29
113,按登記日期分,新北市新莊區,28歲,女,36
113,按登記日期分,新北市新莊區,29歲,女,55
113,按登記日期分,新北市新莊區,30歲,女,62
113,按登記日期分,新北市新莊區,31歲,女,69
113,按登記日期分,新北市新莊區,32歲,女,74
113,按登記日期分,新北市新莊區,33歲,女,80
113,按登記日期分,新北市新莊區,34歲,女,71
113,按登記日期分,新北市新莊區,35歲,女,69
113,按登記日期分,新北市新莊區,36歲,女,68
113,按登記日期分,新北市新莊區,37歲,女,48
113,按登記日期分,新北市新莊區,38歲,女,44
113,按登記日期分,新北市新莊區,39歲,女,23
113,按登記日期分,新北市新莊區,40歲,女,33
113,按登記日期分,新北市新莊區,41歲,女,23
113,按登記日期分,新北市新莊區,42歲,女,27
113,按登記日期分,新北市新莊區,43歲,女,7
113,按登記日期分,新北市新莊區,44歲,女,3
113,按登記日期分,新北市新莊區,45歲,女,2
113,按登記日期分,新北市新莊區,46歲,女,1
113,按登記日期分,新北市新莊區,47歲,女,0
113,按登記日期分,新北市新莊區,48歲,女,1
113,按登記日期分,新北市新莊區,49歲,女,0
113,按登記日期分,新北市新莊區,50歲以上,女,0
113,按登記日期分,新北市新店區,未滿15歲,男,0
113,按登記日期分,新北市新店區,15歲,男,0
113,按登記日期分,新北市新店區,16歲,男,0
113,按登記日期分,新北市新店區,17歲,男,0
113,按登記日期分,新北市新店區,18歲,男,0
113,按登記日期分,新北市新店區,19歲,男,0
113,按登記日期分,新北市新店區,20歲,男,2
113,按登記日期分,新北市新店區,21歲,男,4
113,按登記日期分,新北市新店區,22歲,男,8
113,按登記日期分,新北市新店區,23歲,男,9
113,按登記日期分,新北市新店區,24歲,男,6
113,按登記日期分,新北市新店區,25歲,男,10
113,按登記日期分,新北市新店區,26歲,男,12
113,按登記日期分,新北市新店區,27歲,男,22
113,按登記日期分,新北市新店區,28歲,男,34
113,按登記日期分,新北市新店區,29歲,男,27
113,按登記日期分,新北市新店區,30歲,男,25
113,按登記日期分,新北市新店區,31歲,男,47
113,按登記日期分,新北市新店區,32歲,男,32
113,按登記日期分,新北市新店區,33歲,男,39
113,按登記日期分,新北市新店區,34歲,男,40
113,按登記日期分,新北市新店區,35歲,男,36
113,按登記日期分,新北市新店區,36歲,男,39
113,按登記日期分,新北市新店區,37歲,男,35
113,按登記日期分,新北市新店區,38歲,男,27
113,按登記日期分,新北市新店區,39歲,男,29
113,按登記日期分,新北市新店區,40歲,男,14
113,按登記日期分,新北市新店區,41歲,男,17
113,按登記日期分,新北市新店區,42歲,男,6
113,按登記日期分,新北市新店區,43歲,男,3
113,按登記日期分,新北市新店區,44歲,男,5
113,按登記日期分,新北市新店區,45歲,男,2
113,按登記日期分,新北市新店區,46歲,男,2
113,按登記日期分,新北市新店區,47歲,男,0
113,按登記日期分,新北市新店區,48歲,男,0
113,按登記日期分,新北市新店區,49歲,男,1
113,按登記日期分,新北市新店區,50歲以上,男,1
113,按登記日期分,新北市新店區,未滿15歲,女,1
113,按登記日期分,新北市新店區,15歲,女,0
113,按登記日期分,新北市新店區,16歲,女,0
113,按登記日期分,新北市新店區,17歲,女,1
113,按登記日期分,新北市新店區,18歲,女,0
113,按登記日期分,新北市新店區,19歲,女,2
113,按登記日期分,新北市新店區,20歲,女,1
113,按登記日期分,新北市新店區,21歲,女,2
113,按登記日期分,新北市新店區,22歲,女,1
113,按登記日期分,新北市新店區,23歲,女,9
113,按登記日期分,新北市新店區,24歲,女,3
113,按登記日期分,新北市新店區,25歲,女,9
113,按登記日期分,新北市新店區,26歲,女,11
113,按登記日期分,新北市新店區,27歲,女,22
113,按登記日期分,新北市新店區,28歲,女,19
113,按登記日期分,新北市新店區,29歲,女,24
